year,country,co2,co2_per_capita,trade_co2,coal_co2,cement_co2,oil_co2,gas_co2,gas_co2_per_capita,co2_growth_prct,share_global_co2
1949,Afghanistan,0.015,0.002,,0.015,,,,,,0.0
1950,Afghanistan,0.084,0.011,,0.021,,0.063,,,475.0,0.0
1951,Afghanistan,0.092,0.012,,0.026,,0.066,,,8.7,0.0
1952,Afghanistan,0.092,0.012,,0.032,,0.06,,,0.0,0.0
1953,Afghanistan,0.106,0.013,,0.038,,0.068,,,16.0,0.0
1954,Afghanistan,0.106,0.013,,0.043,,0.064,,,0.0,0.0
1955,Afghanistan,0.154,0.019,,0.062,,0.092,,,44.83,0.0
1956,Afghanistan,0.183,0.022,,0.062,,0.121,,,19.05,0.0
1957,Afghanistan,0.293,0.034,,0.077,,0.216,,,60.0,0.0
1958,Afghanistan,0.33,0.038,,0.092,,0.238,,,12.5,0.0
1959,Afghanistan,0.385,0.044,,0.11,0.018,0.256,,,16.62,0.0
1960,Afghanistan,0.414,0.046,,0.127,0.018,0.269,,,7.62,0.0
1961,Afghanistan,0.491,0.054,,0.176,0.022,0.293,,,18.58,0.01
1962,Afghanistan,0.689,0.074,,0.297,0.029,0.363,,,40.3,0.01
1963,Afghanistan,0.707,0.074,,0.264,0.051,0.392,,,2.63,0.01
1964,Afghanistan,0.839,0.086,,0.3,0.062,0.476,,,18.65,0.01
1965,Afghanistan,1.007,0.101,,0.381,0.084,0.542,,,20.08,0.01
1966,Afghanistan,1.091,0.107,,0.429,0.087,0.575,,,8.37,0.01
1967,Afghanistan,1.282,0.123,,0.399,0.065,0.557,0.26,0.025,17.48,0.01
1968,Afghanistan,1.223,0.115,,0.332,0.047,0.497,0.347,0.033,-4.56,0.01
1969,Afghanistan,0.941,0.086,,0.363,0.051,0.528,,,-23.06,0.01
1970,Afghanistan,1.67,0.15,,0.437,0.047,0.672,0.217,0.019,77.47,0.01
1971,Afghanistan,1.894,0.165,,0.359,0.043,0.747,0.44,0.038,13.36,0.01
1972,Afghanistan,1.53,0.13,,0.191,0.046,0.627,0.3,0.026,-19.18,0.01
1973,Afghanistan,1.635,0.135,,0.311,0.067,0.702,0.333,0.028,6.87,0.01
1974,Afghanistan,1.913,0.154,,0.305,0.07,0.771,0.4,0.032,16.98,0.01
1975,Afghanistan,2.121,0.167,,0.399,0.069,0.874,0.476,0.038,10.88,0.01
1976,Afghanistan,1.981,0.153,,0.425,0.079,0.883,0.3,0.023,-6.62,0.01
1977,Afghanistan,2.384,0.181,,0.451,0.065,0.975,0.513,0.039,20.36,0.01
1978,Afghanistan,2.153,0.161,,0.576,0.058,0.936,0.301,0.023,-9.68,0.01
1979,Afghanistan,2.233,0.166,,0.352,0.064,1.165,0.385,0.029,3.69,0.01
1980,Afghanistan,1.756,0.132,,0.316,0.023,0.925,0.187,0.014,-21.34,0.01
1981,Afghanistan,1.978,0.15,,0.333,0.033,1.015,0.304,0.023,12.65,0.01
1982,Afghanistan,2.095,0.163,,0.385,0.039,0.993,0.396,0.031,5.87,0.01
1983,Afghanistan,2.52,0.201,,0.385,0.006,1.22,0.616,0.049,20.31,0.01
1984,Afghanistan,2.822,0.231,,0.393,0.048,1.134,0.932,0.076,11.97,0.01
1985,Afghanistan,3.501,0.293,,0.4,0.032,1.548,1.192,0.1,24.1,0.02
1986,Afghanistan,3.134,0.267,,0.425,0.038,1.14,1.202,0.102,-10.5,0.02
1987,Afghanistan,3.114,0.268,,0.443,0.043,2.013,0.392,0.034,-0.63,0.01
1988,Afghanistan,2.857,0.246,,0.366,0.043,1.821,0.44,0.038,-8.25,0.01
1989,Afghanistan,2.765,0.233,,0.337,0.043,1.865,0.48,0.04,-3.22,0.01
1990,Afghanistan,2.603,0.21,,0.278,0.046,1.85,0.403,0.032,-5.85,0.01
1991,Afghanistan,2.427,0.182,,0.249,0.046,1.718,0.388,0.029,-6.76,0.01
1992,Afghanistan,1.379,0.095,,0.022,0.046,0.927,0.363,0.025,-43.17,0.01
1993,Afghanistan,1.333,0.084,,0.018,0.047,0.894,0.352,0.022,-3.36,0.01
1994,Afghanistan,1.282,0.075,,0.015,0.047,0.86,0.338,0.02,-3.86,0.01
1995,Afghanistan,1.23,0.068,,0.015,0.047,0.824,0.322,0.018,-3.99,0.01
